-ac,pertaining to,に関する,"cardiac, hemophiliac, maniac"
-er,action or process,アクションまたはプロセス,"flutter, ponder, stutter"
-er,a person who does an action,アクションをした人,"announcer, barber, teacher"
-ern,state or quality of,状態や品質の,"eastern, northern, western"
-escence,state or process,状態またはプロセス,"adolescence, convalescence"
-ese,relating to a place,場所に関連します,"Chinese, Congolese, Vietnamese"
-esque,in the style of,のスタイルで,"Kafkaesque, grotesque, burlesque"
-ess,female,女性,"actress, heiress, lioness"
-est,most,最も,"funniest, hottest, silliest"
-etic,relating to (makes the word an adj.),関連して（形容詞）,"athletic, energetic, poetic"
-ette,diminutive (makes something smaller),小柄（より小さくなる）,"cigarette, diskette, kitchenette"
-ful,full of,いっぱいの,"helpful, thankful, cheerful"
-fy,"make, cause (makes the word a verb)",作り、原因は（単語動詞にする）,"amplify, falsify, terrify"
"-gam, -gamy","marriage, union",結婚、労働組合,"monogam, polygamy"
"-gon, -gonic",angle,角度,"hexagon, polygonic, pentagon"
-hood,"state, condition, or quality",状態、症状、または品質,"childhood, neighborhood, motherhood"
-ial,relating to,に関連する,"celestial, editorial, martial"
-ian,relating to,に関連する,"Martian, utopian, pediatrician"
-iasis,diseased condition,病気の症状,"elephantiasis, psoriasis"
-iatric,healing practice,ヒーリングの練習,"pediatric, psychiatric,"
-ible,able to be,ことができ,"audible, plausible, legible"
"-ic, -ical","relating to, characterized by",によって特徴付けられる、に関連する,"analytic/al, comic/al, organic"
-ile,"relating to, capable of",の能力に関連する,"agile, docile, volatile"
-ily,in what manner,どのような方法で、,"sloppily, steadily, zanily"
-ine,relating to,に関連する,"canine, feminine, masculine"
-ing,materials,材料,"bedding, frosting, roofing"
-ing,action or process,アクションまたはプロセス,"dancing, seeing, writing"
-ion,action or process,アクションまたはプロセス,"celebration, completion, navigation"
-ious,"having the qualities of, full of",完全な、性質を有する,"ambitious, cautious, gracious"
-ish,"relating to, characteristic",、特性に関連します,"apish, brutish, childish"
-ism,state or quality,状態や品質,"altruism, despotism, heroism"
-ist,"a person, one who does an action",人、アクションを行う人,"artist, linguist, pianist"
-ite,"resident of, follower, product of",居住者、フォロワー、製品,"suburbanite, luddite, dynamite"
-itis,"inflammation, preoccupation",炎症、没頭,"appendicitis, tonsillitis, frontrunneritis"
-ity,"state, condition, or quality",状態、症状、または品質,"abnormality, civility, necessity"
-ive,inclined to; quality of; that which,傾向がある、品質、もの,"attractive, expensive, repulsive"
-ization,act or process of making,作るの行為またはプロセス,"colonization, fertilization, modernization"
-ize,"cause, treat, become",原因、治療、になります,"antagonize, authorize, popularize"
-less,without,無し,"fearless, helpless, homeless"
-let,version of,のバージョン,"booklet, droplet, inlet"
-like,"resembling, characteristic",似ている、特徴,"childlike, homelike, lifelike"
-ling,younger or inferior,若いまたは劣る,"duckling, underling"
"-loger, -logist",one who does,ないもの,"astrologer, cardiologist, chronologer"
-log,speech,スピーチ,"dialog, monolog,"
-ly,in what manner,どのような方法で、,"badly, courageously, happily"
-ment,"action, result",アクション、結果,"movement, placement, shipment"
-ness,state or quality (makes a noun),状態や品質（名詞になる）,"kindness, shyness, weakness"
-oid,resembling,似ている,"humanoid, tabloid, hemorrhoid"
-ology,"study of, science of",の科学の研究,"anthropology, archaeology, biology"
-oma,"tumor, swelling",腫瘍、腫れ,"carcinoma, osteoma, hematoma"
-onym,"name, word",名前、単語,"synonym, antonym, homonym"
-opia,eye defect,眼の欠陥,"myopia, nyctalopia, hyperopia"
-opsy,examination,検査,"biopsy, autopsy, necropsy"
-or,a person who,する人,"inventor, legislator, translator"
-ory,relating to,に関連する,"armory, dormitory, laboratory"
-osis,"process, diseased condition",プロセス、病的状態,"diagnosis, prognosis, neurosis, psychosis"
"-ostomy, -otomy",surgical,外科,"colostomy, lobotomy, craniotomy"
-ous,full of,いっぱいの,"hazardous, humorous, wondrous"
-path,one who engages in,に従事するもの,"homeopath, naturopath, psychopath"
-pathy,"feeling, diseased",感情、病気の,"sympathy, apathy, neuropathy"
-phile,one who loves,愛するもの,"bibliophile, audiophile, pyrophile"
-phobia,abnormal fear of,異常な恐怖,"acrophobia, claustrophobia, xenophobia"
-phone,sound,音,"homophone, telephone, microphone"
-phyte,"plant, to grow",成長する植物、,"zoophyte, cryptophyte, epiphyte"
-plegia,paralysis,麻痺,"paraplegia, quadriplegia, hemiplegia"
-plegic,one who is paralyzed,麻痺している1,"paraplegic, technoplegic, quadriplegic"
-pnea,"air, spirit",空気、精神,"apnea, hyperpnea, orthopnea"
"-scopy, -scope",visual exam,視覚的な試験,"arthroscopy, gastroscopy, microscope"
"-scribe, -script",to write,書くこと,"transcript, describe, manuscript"
-sect,to cut,切る,"dissect, insect, bisect"
-ship,"state or condition of, skill of",のスキルの状態や症状,"authorship, citizenship, friendship"
-sion,state or quality,状態や品質,"confusion, depression, tension"
-some,"characterized by, group of",の群によって特徴付け,"cumbersome, quarrelsome, foursome"
"-sophy, -sophic","wisdom, knowledge",知恵、知識,"philosophy, theosophy, anthroposophic"
-th,state or quality,状態や品質,"depth, length, strength"
-tion,state or quality,状態や品質,"attention, caution, fascination"
"-tome, -tomy",to cut,切る,"hysterectomy, epitome, tonsillotome"
-trophy,"nourishment, growth",栄養、成長,"atrophy, hypertrophy, dystrophy"
-tude,"state, condition or quality",状態または品質,"fortitude, gratitude, magnitude"
-ty,"state, condition or quality",状態または品質,"ability, honesty, loyalty"
-ular,relating to or resembling,関連または類似している,"cellular, circular, muscular"
-uous,state or quality of,状態や品質の,"arduous, tumultuous, virtuous"
-ure,"action, condition",アクション、条件,"closure, erasure, failure"
-ward,specifies direction,指定した方向,"backward, eastward, homeward"
-ware,things of the same type or material,同じタイプまたは材料のもの,"hardware, software, kitchenware"
-wise,in what manner or direction,どのような方法や方向,"clockwise, lengthwise, otherwise"
-y,"made up of, characterized",で出来ている、特徴づけられた,"brainy, fruity, gooey"
